order_id,order_timestamp,order_date,year,quarter,month,region,country,currency,customer_name,customer_segment,customer_tier,customer_is_active,product_category,units_sold,gross_revenue_usd,discount_amount_usd,net_revenue_usd,total_cost_usd,gross_margin_usd,gross_margin_pct,material_cost_usd,shipping_cost_usd,tariff_cost_usd,overhead_cost_usd,carrier,month_name
11,2025-01-01 08:07:59,2025-01-01,2025,Q1,01,North America,United States,USD,Customer Corp 028,Mid-Market,Tier 1,1,Network Switches,6,8613.92,255.77,8358.15,5457.679999999999,2900.4700000000003,34.7,3821.43,666.35,320.7,649.2,DHL Global,Jan
3,2025-01-01 08:46:29,2025-01-01,2025,Q1,01,North America,United States,USD,Customer Corp 088,Mid-Market,Tier 1,1,Network Switches,8,19418.1,780.52,18637.58,10685.900000000001,7951.68,42.66,7558.75,1452.53,688.66,985.96,DHL Global,Jan
1,2025-01-01 09:13:14,2025-01-01,2025,Q1,01,Europe,Germany,EUR,Customer Corp 029,Enterprise,Tier 3,1,Edge Gateways,9,10615.12,681.37,9933.75,5960.849999999999,3972.9000000000005,39.99,4376.83,605.5,215.95,762.57,DB Schenker,Jan
20,2025-01-01 09:54:11,2025-01-01,2025,Q1,01,APAC,Australia,AUD,Customer Corp 189,Enterprise,Tier 3,1,Cloud Hardware,25,33328.2,766.83,32561.37,21022.75,11538.619999999999,35.44,13956.04,3543.44,997.11,2526.16,FedEx Express,Jan
18,2025-01-01 10:24:00,2025-01-01,2025,Q1,01,APAC,Australia,AUD,Customer Corp 167,Enterprise,Tier 2,1,Cloud Hardware,4,9499.3,673.71,8825.59,5347.38,3478.21,39.41,3618.3,944.98,214.24,569.86,UPS Supply Chain,Jan
8,2025-01-01 10:32:31,2025-01-01,2025,Q1,01,Europe,United Kingdom,GBP,Customer Corp 068,SMB,Tier 1,1,Network Switches,25,43858.15,1568.56,42289.59,26638.96,15650.629999999997,37.01,18399.15,3802.67,1183.6,3253.54,Maersk Freight,Jan
12,2025-01-01 10:42:30,2025-01-01,2025,Q1,01,North America,United States,USD,Customer Corp 093,SMB,Tier 2,1,Network Switches,3,3628.45,196.09,3432.36,2079.92,1352.44,39.4,1389.16,319.12,124.66,246.98,DHL Global,Jan
2,2025-01-01 10:44:27,2025-01-01,2025,Q1,01,LATAM,Brazil,BRL,Customer Corp 130,Mid-Market,Tier 1,0,Cloud Hardware,19,21622.46,1275.58,20346.88,12693.58,7653.300000000001,37.61,8804.02,2090.93,646.73,1151.9,FedEx Express,Jan
19,2025-01-01 11:03:37,2025-01-01,2025,Q1,01,North America,United States,USD,Customer Corp 100,Enterprise,Tier 1,1,Enterprise Storage,11,16710.24,1294.03,15416.21,9811.86,5604.3499999999985,36.35,7087.22,1166.96,529.83,1027.85,FedEx Express,Jan
4,2025-01-01 11:49:18,2025-01-01,2025,Q1,01,Europe,France,EUR,Customer Corp 138,SMB,Tier 2,1,Enterprise Storage,4,6953.88,485.13,6468.75,3919.31,2549.44,39.41,2827.56,397.02,204.07,490.66,DHL Global,Jan
21,2025-01-01 14:42:37,2025-01-01,2025,Q1,01,LATAM,Brazil,BRL,Customer Corp 018,Mid-Market,Tier 1,1,Cloud Hardware,23,52097.13,2304.08,49793.05,32552.0,17241.050000000003,34.63,22730.32,4908.67,1572.38,3340.63,FedEx Express,Jan
13,2025-01-01 14:42:41,2025-01-01,2025,Q1,01,Europe,United Kingdom,GBP,Customer Corp 141,Mid-Market,Tier 3,1,Edge Gateways,18,41096.45,1865.3,39231.15,23337.58,15893.57,40.51,16191.01,3192.96,1357.34,2596.27,Maersk Freight,Jan
15,2025-01-01 15:51:26,2025-01-01,2025,Q1,01,Europe,Germany,EUR,Customer Corp 018,Mid-Market,Tier 1,1,Edge Gateways,4,6696.26,245.81,6450.45,3851.3,2599.1499999999996,40.29,2768.05,434.05,222.33,426.87,DB Schenker,Jan
17,2025-01-01 16:06:03,2025-01-01,2025,Q1,01,Europe,Netherlands,EUR,Customer Corp 028,Mid-Market,Tier 1,1,Network Switches,8,13693.49,389.04,13304.45,7792.04,5512.410000000001,41.43,5468.25,975.14,498.78,849.87,DHL Global,Jan
9,2025-01-01 16:55:00,2025-01-01,2025,Q1,01,Europe,Germany,EUR,Customer Corp 024,Mid-Market,Tier 3,1,Cloud Hardware,6,11199.95,756.27,10443.68,6065.08,4378.6,41.93,4442.01,792.4,288.58,542.09,DB Schenker,Jan
